FID,fclass,name,X,Y
13650,bank,FAYSAL BANK 3047,71.464129499999999,30.188300000000002
13651,drinking_water,filter plant,72.995211200000000,33.622910099999999
13652,attraction,home taya abu,74.296642000000006,31.469746900000001
13653,restaurant,Markaz Dhaba,72.995028899999994,33.667833999999999
13654,convenience,Mini Market,72.994981100000004,33.667913499999997
13655,restaurant,Khyber Shinwari Restaurant,72.997971399999997,33.667012100000001
13656,fast_food,Berlin Foods,72.997563799999995,33.667557100000003
13657,convenience,Salezone.pk,72.997733699999998,33.667336599999999
13658,clothes,Ascender,72.997671199999999,33.667417700000001
13659,restaurant,Zeeshan Restaurant,72.997499800000000,33.667754000000002
13660,restaurant,The Naan Cafe,72.997166500000006,33.668192099999999
13661,stationery,Zaman Photocopy and Composing Center,72.997430699999995,33.667842000000000
13662,restaurant,Naan Shaan,72.997351499999994,33.667950200000000
13663,stationery,Madina Photo Copy Center,72.997298599999993,33.668019600000001
13664,stationery,Smart Climate Solution,72.997388000000001,33.667907900000003
13665,clothes,Insaf Cloth Al Anayat Mall,72.997227499999994,33.668127900000002
13666,fast_food,Pait Pooja,72.996395500000006,33.668645499999997
13667,restaurant,Silver Grill,72.996412399999997,33.668739100000003
13668,restaurant,Food Gear,72.996502699999994,33.668513799999999
13669,bakery,Rahat Bakers,72.996775299999996,33.668422399999997
13670,pharmacy,Al-Rehman Medical Store,72.996837299999996,33.668662500000003
13671,clothes,Al-Rehman Uniform,72.996667400000007,33.668689000000001
13672,computer_shop,Generation Computers,72.996907600000000,33.668557700000001
13673,hospital,Maryam Hospital and Diagnostic Center,72.998151199999995,33.667720699999997
13674,bank,Bank of Punjab,72.997750300000007,33.667649400000002
13675,clothes,Faisal Fabrics,72.997747500000003,33.667777999999998
13676,school,NuNehal Public School,71.935299400000005,30.294785099999999
13677,school,Govt Secondary School for Disable Students,71.938144100000002,30.293904999999999
13678,fast_food,Biryani Hut,72.997826700000005,33.667819600000001
13679,bank,Summit Bank,72.997963100000007,33.667891300000001
13680,restaurant,Amigos Cuisine,72.998647300000002,33.667972300000002
13681,restaurant,Dera Khyber Restaurant,72.998488899999998,33.668167300000000
13682,restaurant,New Quetta Shah G Cafe,72.998397299999993,33.668280199999998
13683,restaurant,New Quetta BOLAN Resturant,72.997177300000004,33.668453700000001
13684,restaurant,CRISPY BROAST,72.997060200000007,33.668684800000001
13685,mobile_phone_shop,Blue Mobile G11 Markaz Islamabad,72.997223800000000,33.668775199999999
13686,restaurant,PIZZA COTTAGE,72.997829999999993,33.668784000000002
13687,restaurant,Karachi Nights Restaurant,72.998077300000006,33.668920700000001
13688,bookshop,Citi Books,72.997808899999995,33.669062500000003
13689,restaurant,Maizban Tandoori Kababish Restaurant,72.997911799999997,33.669118300000001
13690,atm,Meezan Bank ATM,72.997975900000000,33.669153000000001
13691,bank,Askari Bank,72.998114799999996,33.669170399999999
13692,fast_food,Boom Boom Roll Paratha,72.998145300000004,33.669248600000003
13693,bank,Bank Alfalah,72.998351799999995,33.669363799999999
13694,bank,Muslim Commercial Bank,72.998582799999994,33.669488500000000
13695,bank,United Bank,72.998474099999996,33.669430900000002
13696,bank,Standard Chartered,72.998799000000005,33.669606999999999
13697,restaurant,Ali Baba Restaurant,72.999005400000001,33.669636199999999
13698,school,Rehman Public School,71.937617700000004,30.294325199999999
13699,shoe_shop,Servis Shoes,72.999296299999997,33.670134800000000
13700,bank,JS Bank,72.999385099999998,33.670181700000001
13701,restaurant,The Paratha Co.,72.999467100000004,33.670224200000000
13702,restaurant,Domino's Pizza G-11,72.999292400000002,33.670056299999999
13703,restaurant,Bread n Cakes,72.999386099999995,33.669932899999999
13704,restaurant,Rewayat Restaurant,72.999751200000006,33.669914599999998
13705,bank,Habib MetroBank,73.000405900000004,33.669032199999997
13706,atm,Bank Islami,73.000633500000006,33.668580200000001
13707,car_dealership,Nadeem Cars,73.000025399999998,33.668854199999998
13708,car_dealership,Malik Motors,72.999887799999996,33.668786099999998
13709,car_dealership,Fair Car Deals,72.999950900000002,33.668817400000002
13710,library,CDA Public Library and Reading Hall,73.000848000000005,33.669193900000003
13711,school,Islamabad Model School,72.989578100000003,33.668176600000002
13712,school,"SLS Montessori & School, G-11 Branch",73.006407400000001,33.667838199999998
13713,restaurant,Zaiqa Restaurant,72.989940000000004,33.664994600000000
13714,hostel,Bachelor's Inn Boys Hostel,72.990061699999998,33.665125400000001
13715,doityourself,Madina Paint & Hardware,72.990258699999998,33.664579400000001
13716,car_wash,Umair Honda service,72.991198800000006,33.663297700000001
13717,car_dealership,Chaudary Autos,72.991385199999996,33.663288799999997
13718,cafe,Subhanallah Hotel,72.991510000000005,33.662896400000001
13719,restaurant,Awami Hotel & Restaurant,72.991446800000006,33.662987500000000
13720,car_dealership,Bari Autos,72.992066100000002,33.662142500000002
13721,hotel,New Abbasi Hotel,72.991973700000003,33.662288699999998
13722,school,Dar-e-Arqam School,72.993204899999995,33.660601200000002
13723,restaurant,pizzilla pizza,72.993302999999997,33.660426299999997
